filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,flux,contrast,flatness,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
95.wav,0.32268738746643066,0.10612648725509644,2159.5483196611644,2130.34934530605,4685.038336880805,0.0983489895752709,143.5546875,1.6756497621536255,22.62931797521101,0.004832486622035503,-133.04440307617188,105.72738647460938,-22.146265029907227,41.81864929199219,-26.996667861938477,19.124523162841797,-26.569320678710938,19.24604034423828,-15.334524154663086,6.989655494689941,-10.818551063537598,6.793742656707764,-11.729827880859375,4.40093994140625,-6.044507026672363,1.9662836790084839,-12.32630443572998,3.2550435066223145,-8.81142807006836,-3.3753578662872314,blues
98.wav,0.2536383867263794,0.15153230726718903,1331.0365912698592,1973.6486462859361,2900.174129710478,0.04296723829334365,151.99908088235293,1.347930669784546,27.927204310381864,0.0005816943594254553,-221.8311309814453,110.83949279785156,18.6168212890625,30.920137405395508,3.2959229946136475,22.58736228942871,-20.416351318359375,12.118738174438477,-26.35049819946289,-4.3674845695495605,-26.413198471069336,-13.045100212097168,-12.654766082763672,-1.8243436813354492,-7.258695125579834,-6.661086082458496,-14.686605453491211,-11.720062255859375,-11.023768424987793,-13.38840103149414,blues
97.wav,0.3777357041835785,0.06589096784591675,570.1506880585581,995.0934725815811,928.8527166880322,0.021700549051857584,143.5546875,0.8134174346923828,21.405046527628777,0.00045653595589101315,-350.35888671875,169.54632568359375,31.780231475830078,16.713754653930664,28.661758422851562,19.24909019470215,7.846699237823486,10.039794921875,4.742694854736328,2.9156229496002197,3.8965418338775635,1.8103498220443726,-5.970981121063232,-5.2587480545043945,-0.2288823127746582,-1.7753275632858276,-3.708839178085327,0.17516908049583435,2.0766782760620117,-2.8920040130615234,blues
93.wav,0.2703465223312378,0.08063894510269165,1420.4114787701462,1730.9171016184673,2930.240614569224,0.0637176797116873,99.38401442307692,1.4600526094436646,21.364320963764044,0.0011015895288437605,-238.5330352783203,120.08828735351562,-4.224555492401123,42.31004333496094,5.916329383850098,13.91418170928955,5.357577323913574,1.903708577156067,-16.929880142211914,12.339310646057129,3.94096040725708,-1.3906770944595337,0.01479202602058649,3.5804953575134277,-4.504993438720703,-5.541951656341553,-6.883077621459961,-4.826390266418457,1.7385828495025635,-1.8840166330337524,blues
94.wav,0.3901600241661072,0.13617800176143646,2279.265543032407,2375.084795451031,5198.476898854731,0.09257049088138544,135.99917763157896,1.3241506814956665,21.730343721527653,0.005403539165854454,-109.53234100341797,86.92649841308594,-8.62498950958252,64.489501953125,-6.306035041809082,43.64582061767578,-8.293103218078613,28.54642677307129,-14.081591606140137,8.13663387298584,-21.490427017211914,11.086616516113281,-5.094468116760254,3.978771924972534,-12.864776611328125,12.342427253723145,0.02058551274240017,-0.7392383217811584,-5.130451202392578,3.307131290435791,blues
92.wav,0.30241402983665466,0.10343772172927856,1831.9900685948746,1729.4562589469806,3480.8539517523704,0.09403986975135449,112.34714673913044,1.5188779830932617,22.544687671243373,0.003064809599891305,-177.88876342773438,118.18952941894531,-17.55072784423828,30.753101348876953,-21.732107162475586,11.898545265197754,-20.732280731201172,3.17616868019104,-8.57577133178711,-0.9401845335960388,-11.773798942565918,-2.4260759353637695,-9.342486381530762,-9.947081565856934,-3.9053468704223633,-5.568540573120117,-1.839969277381897,-2.784175157546997,-3.046112060546875,-8.115227699279785,blues
90.wav,0.2882498800754547,0.17330875992774963,1507.1047288496127,2096.717628469328,3405.4127412683824,0.045430186363196595,129.19921875,1.303636074066162,26.880773605750104,0.0009741904796101153,-171.81019592285156,120.28062438964844,15.32753849029541,21.090450286865234,-5.4192962646484375,24.189464569091797,-24.138221740722656,18.55198097229004,-22.34890365600586,1.3031777143478394,-20.763931274414062,-4.988852024078369,-17.118925094604492,-7.886534214019775,-15.308929443359375,-9.351313591003418,-8.91386604309082,-8.525090217590332,-14.333636283874512,-19.93372344970703,blues
91.wav,0.45287561416625977,0.20081737637519836,2030.3725287964605,1987.0908589175306,4062.6921001233554,0.10338599615421827,92.28515625,1.401933193206787,20.880166690469032,0.005861074663698673,-58.0010986328125,109.01412200927734,-36.218387603759766,64.04035949707031,1.4301568269729614,26.31511878967285,-17.482681274414062,20.43101692199707,-9.543071746826172,18.177133560180664,-6.0571441650390625,13.878273963928223,-11.297565460205078,4.668999195098877,-6.41060209274292,3.2177248001098633,-8.079231262207031,-1.7114851474761963,-5.4247660636901855,-2.5814132690429688,blues
96.wav,0.3211421072483063,0.10111809521913528,1046.7275070203582,1480.5791610107572,1831.1222607875386,0.04793735185274768,99.38401442307692,1.4752905368804932,22.15017830903346,0.0003967994707636535,-264.678466796875,138.85833740234375,11.156023979187012,48.53825378417969,14.895923614501953,20.584367752075195,3.2051422595977783,1.2625881433486938,-15.847021102905273,15.986576080322266,3.3616716861724854,-1.51374089717865,1.8921550512313843,6.3119215965271,-0.9948620200157166,-2.416724443435669,-3.684751272201538,0.49939730763435364,5.050746917724609,-0.7867031097412109,blues
89.wav,0.33248457312583923,0.11736053973436356,2553.2225631938227,2280.079407033503,5148.04387048302,0.14685171971749225,151.99908088235293,1.2703137397766113,22.136256465756787,0.010562673211097717,-85.17353057861328,88.81204986572266,-16.331642150878906,59.223236083984375,-35.99360275268555,14.391534805297852,-22.306257247924805,9.651897430419922,-14.8239164352417,11.181605339050293,-14.808832168579102,8.478196144104004,-19.590890884399414,6.413429260253906,-13.782541275024414,6.1157636642456055,-13.15479564666748,3.9341371059417725,-7.617099761962891,3.752704381942749,blues
